@relation relationships-weka.filters.unsupervised.attribute.NumericToNominal-R11-weka.filters.unsupervised.attribute.Discretize-F-B2-M-1.0-R3-10

@attribute detectorId numeric
@attribute detectedId numeric
@attribute detected_frequency {0,1}
@attribute detected_daytime {0,1}
@attribute detected_evening {0,1}
@attribute detected_latenight {0,1}
@attribute duration_short {0,1}
@attribute duration_long {0,1}
@attribute distance_close {0,1}
@attribute distance_far {0,1}
@attribute friendship {0,1}

@data
20,5,0,0,0,0,0,0,0,0,1
20,6,1,1,0,0,1,1,1,1,1
20,7,0,0,0,0,0,0,0,0,1
20,8,0,0,0,0,0,0,0,0,0
20,9,0,0,0,0,0,0,0,0,1
20,10,0,0,0,0,0,0,0,0,0
20,11,0,0,0,0,0,0,0,0,0
20,12,0,0,0,0,0,0,0,0,1
20,13,0,0,0,0,0,0,0,0,1
20,14,0,0,0,0,0,0,0,0,1
20,15,0,0,0,0,0,0,0,0,0
20,16,0,0,0,0,0,0,0,0,0
20,17,0,0,0,0,0,0,0,0,1
20,18,0,0,0,0,0,0,0,0,0
20,19,1,1,0,0,1,1,1,0,0
20,21,0,0,0,0,0,0,0,0,0
20,22,0,0,0,0,0,0,0,0,0
20,23,0,0,0,0,0,0,0,0,0
20,24,0,0,0,0,0,0,0,0,0
21,1,1,1,1,0,1,1,1,1,1
21,2,1,1,0,0,1,1,1,1,0
21,3,0,0,0,0,0,0,0,0,0
21,4,1,1,0,0,1,1,1,1,0
21,5,1,1,1,0,1,1,1,1,1
21,6,0,0,0,0,0,0,0,0,0
21,7,1,1,0,0,1,1,1,1,0
21,8,1,1,1,0,1,1,1,1,0
21,9,1,1,0,0,1,1,1,1,0
21,10,1,1,0,0,1,1,1,0,0
21,11,1,1,0,0,1,1,1,1,0
21,12,0,0,0,0,0,0,0,0,0
21,13,0,0,0,0,0,0,0,0,0
21,14,1,1,0,0,1,1,1,1,0
21,15,1,1,1,0,1,1,1,1,0
21,16,1,1,0,0,1,1,1,1,0
21,17,0,0,0,0,0,0,0,0,0
21,18,1,1,0,0,1,1,1,0,0
21,19,0,0,0,0,0,0,0,0,0
21,20,0,0,0,0,0,0,0,0,0
21,22,1,1,1,0,1,1,1,1,1
21,23,1,1,0,0,1,0,1,0,1
21,24,1,1,1,0,1,1,1,1,1
22,1,0,0,0,0,0,0,0,0,0
22,2,0,0,0,0,0,0,0,0,0
22,3,0,0,0,0,0,0,0,0,0
22,4,0,0,0,0,0,0,0,0,0
22,5,0,0,0,0,0,0,0,0,0
22,6,0,0,0,0,0,0,0,0,0
22,7,0,0,0,0,0,0,0,0,0
22,8,1,0,1,0,1,1,1,0,0
22,9,1,1,1,0,1,1,1,0,0
22,10,0,0,0,0,0,0,0,0,0
22,11,1,0,1,0,1,1,1,1,0
22,12,0,0,0,0,0,0,0,0,0
22,13,0,0,0,0,0,0,0,0,0
22,14,1,0,1,0,1,1,1,0,0
22,15,1,0,1,0,1,0,1,0,0
22,16,0,0,0,0,0,0,0,0,0
22,17,0,0,0,0,0,0,0,0,0
22,18,0,0,0,0,0,0,0,0,0
22,19,0,0,0,0,0,0,0,0,0
22,20,0,0,0,0,0,0,0,0,0
22,21,1,1,1,0,1,1,1,1,1
22,23,1,1,0,0,1,0,0,1,0
22,24,1,1,1,0,1,1,1,1,0
23,1,0,0,0,0,0,0,0,0,0
23,2,0,0,0,0,0,0,0,0,0
23,3,0,0,0,0,0,0,0,0,0
23,4,0,0,0,0,0,0,0,0,0
23,5,0,0,0,0,0,0,0,0,0
23,6,0,0,0,0,0,0,0,0,0
23,7,0,0,0,0,0,0,0,0,0
23,8,0,0,0,0,0,0,0,0,0
23,9,0,0,0,0,0,0,0,0,0
23,10,0,0,0,0,0,0,0,0,0
23,11,0,0,0,0,0,0,0,0,0
23,12,0,0,0,0,0,0,0,0,0
23,13,0,0,0,0,0,0,0,0,0
23,14,0,0,0,0,0,0,0,0,0
23,15,0,0,0,0,0,0,0,0,0
23,16,0,0,0,0,0,0,0,0,0
23,17,0,0,0,0,0,0,0,0,0
23,18,0,0,0,0,0,0,0,0,0
23,19,0,0,0,0,0,0,0,0,0
23,20,0,0,0,0,0,0,0,0,0
23,21,0,0,0,0,0,0,0,0,1
23,22,0,0,0,0,0,0,0,0,0
23,24,1,0,1,0,1,1,0,1,1
24,1,0,0,0,0,0,0,0,0,0
24,2,0,0,0,0,0,0,0,0,0
24,3,1,0,1,0,1,1,1,1,0
24,4,1,0,1,0,1,1,1,1,0
24,5,1,1,0,0,1,1,1,1,0
24,6,0,0,0,0,0,0,0,0,0
24,7,1,1,1,0,1,1,1,1,0
24,8,0,0,0,0,0,0,0,0,0
24,9,1,1,1,0,1,0,1,1,0
24,10,0,0,0,0,0,0,0,0,0
24,11,1,1,0,0,1,1,1,0,0
24,12,0,0,0,0,0,0,0,0,0
24,13,0,0,0,0,0,0,0,0,0
24,14,1,1,0,0,1,1,1,1,0
24,15,1,1,1,0,1,1,1,1,0
24,16,0,0,0,0,0,0,0,0,0
24,17,0,0,0,0,0,0,0,0,0
24,18,0,0,0,0,0,0,0,0,0
24,19,0,0,0,0,0,0,0,0,0
24,20,0,0,0,0,0,0,0,0,0
24,21,1,1,1,0,1,1,1,1,1
24,22,1,1,1,0,1,1,1,1,0
24,23,1,1,1,0,1,1,1,1,1
