@relation relationships-weka.filters.unsupervised.attribute.NumericToNominal-R11

@attribute detectorId numeric
@attribute detectedId numeric
@attribute detected_frequency numeric
@attribute detected_daytime numeric
@attribute detected_evening numeric
@attribute detected_latenight numeric
@attribute duration_short numeric
@attribute duration_long numeric
@attribute distance_close numeric
@attribute distance_far numeric
@attribute friendship {0,1}

@data
12,13,455,2,333,120,450,5,144,311,1
12,14,30,0,0,30,30,0,28,2,1
12,15,915,0,915,0,913,2,82,833,1
12,16,0,0,0,0,0,0,0,0,1
12,17,0,0,0,0,0,0,0,0,1
12,18,0,0,0,0,0,0,0,0,0
12,19,1,1,0,0,1,0,1,0,1
12,20,0,0,0,0,0,0,0,0,1
12,21,0,0,0,0,0,0,0,0,0
12,22,0,0,0,0,0,0,0,0,0
12,23,0,0,0,0,0,0,0,0,0
12,24,0,0,0,0,0,0,0,0,0
13,1,8,8,0,0,6,2,7,1,1
13,2,2,2,0,0,0,2,0,2,1
13,3,0,0,0,0,0,0,0,0,0
13,4,0,0,0,0,0,0,0,0,1
13,5,436,0,319,117,436,0,240,196,1
13,6,0,0,0,0,0,0,0,0,0
13,7,176,8,168,0,176,0,91,85,0
13,8,2,2,0,0,0,2,2,0,0
13,9,2,2,0,0,1,1,2,0,1
13,10,0,0,0,0,0,0,0,0,0
13,11,0,0,0,0,0,0,0,0,1
13,12,324,0,323,1,318,6,98,226,1
13,14,119,2,0,117,118,1,49,70,1
13,15,962,211,751,0,962,0,222,740,0
13,16,0,0,0,0,0,0,0,0,1
13,17,0,0,0,0,0,0,0,0,1
13,18,0,0,0,0,0,0,0,0,0
13,19,0,0,0,0,0,0,0,0,0
13,20,0,0,0,0,0,0,0,0,1
13,21,0,0,0,0,0,0,0,0,0
13,22,0,0,0,0,0,0,0,0,0
13,23,0,0,0,0,0,0,0,0,0
13,24,0,0,0,0,0,0,0,0,0
14,1,384,12,372,0,376,8,196,188,0
14,2,5,5,0,0,0,5,4,1,1
14,3,148,0,148,0,148,0,148,0,1
14,4,389,112,277,0,365,24,159,230,1
14,5,1115,192,923,0,1095,20,568,547,1
14,6,1,1,0,0,0,1,1,0,1
14,7,0,0,0,0,0,0,0,0,1
14,8,1653,190,1463,0,1575,78,1100,553,0
14,9,1419,3,1416,0,1414,5,598,821,0
14,10,0,0,0,0,0,0,0,0,1
14,11,86,86,0,0,85,1,14,72,1
14,12,0,0,0,0,0,0,0,0,1
14,13,0,0,0,0,0,0,0,0,1
14,15,796,248,548,0,775,21,473,323,1
14,16,0,0,0,0,0,0,0,0,1
14,17,0,0,0,0,0,0,0,0,1
14,18,5,5,0,0,0,5,5,0,1
14,19,0,0,0,0,0,0,0,0,0
14,20,0,0,0,0,0,0,0,0,1
14,21,194,194,0,0,176,18,17,177,0
14,22,18,18,0,0,3,15,18,0,0
14,23,2,1,1,0,1,1,2,0,0
14,24,18,18,0,0,0,18,17,1,0
15,1,384,0,384,0,368,16,372,12,1
15,2,782,644,138,0,761,21,292,490,1
15,3,29,0,29,0,7,22,22,7,0
15,4,765,233,532,0,721,44,760,5,1
15,5,3140,1274,1866,0,2887,253,2055,1085,0
15,6,0,0,0,0,0,0,0,0,0
15,7,960,17,943,0,960,0,277,683,1
15,8,816,584,232,0,788,28,331,485,1
15,9,3717,1303,2414,0,3611,106,1944,1773,0
15,10,0,0,0,0,0,0,0,0,1
15,11,152,123,29,0,146,6,118,34,0
15,12,854,225,629,0,843,11,98,756,1
15,13,846,191,655,0,837,9,334,512,0
15,14,956,495,461,0,850,106,661,295,1
15,16,0,0,0,0,0,0,0,0,0
15,17,19,7,12,0,3,16,2,17,1
15,18,0,0,0,0,0,0,0,0,0
15,19,362,362,0,0,353,9,339,23,0
15,20,0,0,0,0,0,0,0,0,0
15,21,441,413,28,0,381,60,291,150,0
15,22,148,148,0,0,132,16,148,0,0
15,23,2,1,1,0,2,0,2,0,0
15,24,323,148,175,0,280,43,321,2,0
16,1,0,0,0,0,0,0,0,0,0
16,2,0,0,0,0,0,0,0,0,0
16,3,0,0,0,0,0,0,0,0,0
16,4,0,0,0,0,0,0,0,0,0
16,5,0,0,0,0,0,0,0,0,0
16,6,0,0,0,0,0,0,0,0,1
16,7,0,0,0,0,0,0,0,0,1
16,8,0,0,0,0,0,0,0,0,0
16,9,0,0,0,0,0,0,0,0,1
16,10,0,0,0,0,0,0,0,0,0
16,11,0,0,0,0,0,0,0,0,1
16,12,0,0,0,0,0,0,0,0,1
16,13,0,0,0,0,0,0,0,0,1
16,14,0,0,0,0,0,0,0,0,1
16,15,0,0,0,0,0,0,0,0,0
16,17,0,0,0,0,0,0,0,0,1
16,18,0,0,0,0,0,0,0,0,1
16,19,0,0,0,0,0,0,0,0,0
16,20,0,0,0,0,0,0,0,0,0
16,21,0,0,0,0,0,0,0,0,0
16,22,0,0,0,0,0,0,0,0,0
16,23,0,0,0,0,0,0,0,0,0
16,24,0,0,0,0,0,0,0,0,0
17,1,0,0,0,0,0,0,0,0,1
17,2,1,0,1,0,1,0,1,0,1
17,3,0,0,0,0,0,0,0,0,0
17,4,76,0,76,0,76,0,47,29,1
17,5,0,0,0,0,0,0,0,0,1
17,6,0,0,0,0,0,0,0,0,1
17,7,0,0,0,0,0,0,0,0,1
17,8,0,0,0,0,0,0,0,0,0
17,9,9,0,9,0,1,8,5,4,1
17,10,0,0,0,0,0,0,0,0,0
17,11,2,0,2,0,0,2,1,1,1
17,12,0,0,0,0,0,0,0,0,1
17,13,0,0,0,0,0,0,0,0,1
17,14,21,0,21,0,0,21,4,17,1
17,15,19,0,19,0,1,18,0,19,1
17,16,0,0,0,0,0,0,0,0,1
17,18,0,0,0,0,0,0,0,0,1
17,19,3,3,0,0,0,3,3,0,1
17,20,3,3,0,0,0,3,1,2,0
17,21,0,0,0,0,0,0,0,0,0
17,22,0,0,0,0,0,0,0,0,0
17,23,0,0,0,0,0,0,0,0,0
17,24,0,0,0,0,0,0,0,0,0
18,1,10,10,0,0,1,9,10,0,0
18,2,22,22,0,0,2,20,22,0,0
18,3,0,0,0,0,0,0,0,0,0
18,4,5,4,1,0,0,5,1,4,0
18,5,12,12,0,0,0,12,5,7,1
18,6,0,0,0,0,0,0,0,0,0
18,7,0,0,0,0,0,0,0,0,0
18,8,27,26,1,0,3,24,9,18,0
18,9,0,0,0,0,0,0,0,0,1
18,10,4,4,0,0,1,3,4,0,0
18,11,7,7,0,0,1,6,6,1,0
18,12,0,0,0,0,0,0,0,0,0
18,13,0,0,0,0,0,0,0,0,0
18,14,19,19,0,0,5,14,19,0,1
18,15,0,0,0,0,0,0,0,0,0
18,16,0,0,0,0,0,0,0,0,1
18,17,0,0,0,0,0,0,0,0,1
18,19,0,0,0,0,0,0,0,0,0
18,20,0,0,0,0,0,0,0,0,0
18,21,24,24,0,0,19,5,24,0,0
18,22,0,0,0,0,0,0,0,0,0
18,23,0,0,0,0,0,0,0,0,0
18,24,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,1
19,2,4,4,0,0,0,4,3,1,1
19,3,3,3,0,0,0,3,1,2,0
19,4,1,1,0,0,0,1,1,0,1
19,5,4,0,4,0,4,0,4,0,1
19,6,4,4,0,0,0,4,4,0,0
19,7,0,0,0,0,0,0,0,0,1
19,8,1,1,0,0,1,0,1,0,0
19,9,0,0,0,0,0,0,0,0,1
19,10,0,0,0,0,0,0,0,0,0
19,11,0,0,0,0,0,0,0,0,0
19,12,0,0,0,0,0,0,0,0,1
19,13,0,0,0,0,0,0,0,0,0
19,14,0,0,0,0,0,0,0,0,1
19,15,3,0,3,0,3,0,3,0,0
19,16,0,0,0,0,0,0,0,0,0
19,17,3,3,0,0,1,2,2,1,1
19,18,0,0,0,0,0,0,0,0,0
19,20,3,3,0,0,0,3,3,0,0
19,21,0,0,0,0,0,0,0,0,0
19,22,0,0,0,0,0,0,0,0,0
19,23,0,0,0,0,0,0,0,0,0
19,24,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,1
20,2,2,2,0,0,0,2,0,2,1
20,3,0,0,0,0,0,0,0,0,0
20,4,0,0,0,0,0,0,0,0,1
20,5,0,0,0,0,0,0,0,0,1
20,6,2,2,0,0,1,1,1,1,1
20,7,0,0,0,0,0,0,0,0,1
20,8,0,0,0,0,0,0,0,0,0
20,9,0,0,0,0,0,0,0,0,1
20,10,0,0,0,0,0,0,0,0,0
20,11,0,0,0,0,0,0,0,0,0
20,12,0,0,0,0,0,0,0,0,1
20,13,0,0,0,0,0,0,0,0,1
20,14,0,0,0,0,0,0,0,0,1
20,15,0,0,0,0,0,0,0,0,0
20,16,0,0,0,0,0,0,0,0,0
20,17,0,0,0,0,0,0,0,0,1
20,18,0,0,0,0,0,0,0,0,0
20,19,2,2,0,0,1,1,2,0,0
20,21,0,0,0,0,0,0,0,0,0
20,22,0,0,0,0,0,0,0,0,0
20,23,0,0,0,0,0,0,0,0,0
20,24,0,0,0,0,0,0,0,0,0
21,1,92,12,80,0,64,28,88,4,1
21,2,3,3,0,0,1,2,1,2,0
21,3,0,0,0,0,0,0,0,0,0
21,4,81,81,0,0,73,8,74,7,0
21,5,410,406,4,0,387,23,92,318,1
21,6,0,0,0,0,0,0,0,0,0
21,7,548,548,0,0,416,132,437,111,0
21,8,448,427,21,0,396,52,377,71,0
21,9,89,89,0,0,80,9,59,30,0
21,10,19,19,0,0,13,6,19,0,0
21,11,133,133,0,0,131,2,23,110,0
21,12,0,0,0,0,0,0,0,0,0
21,13,0,0,0,0,0,0,0,0,0
21,14,277,277,0,0,252,25,8,269,0
21,15,842,801,41,0,641,201,494,348,0
21,16,150,150,0,0,123,27,83,67,0
21,17,0,0,0,0,0,0,0,0,0
21,18,85,85,0,0,70,15,85,0,0
21,19,0,0,0,0,0,0,0,0,0
21,20,0,0,0,0,0,0,0,0,0
21,22,10464,4635,5829,0,9586,878,810,9654,1
21,23,2,2,0,0,2,0,2,0,1
21,24,3918,2391,1527,0,3436,482,2661,1257,1
22,1,0,0,0,0,0,0,0,0,0
22,2,0,0,0,0,0,0,0,0,0
22,3,0,0,0,0,0,0,0,0,0
22,4,0,0,0,0,0,0,0,0,0
22,5,0,0,0,0,0,0,0,0,0
22,6,0,0,0,0,0,0,0,0,0
22,7,0,0,0,0,0,0,0,0,0
22,8,24,0,24,0,8,16,24,0,0
22,9,7,1,6,0,5,2,7,0,0
22,10,0,0,0,0,0,0,0,0,0
22,11,3,0,3,0,1,2,2,1,0
22,12,0,0,0,0,0,0,0,0,0
22,13,0,0,0,0,0,0,0,0,0
22,14,20,0,20,0,11,9,20,0,0
22,15,1,0,1,0,1,0,1,0,0
22,16,0,0,0,0,0,0,0,0,0
22,17,0,0,0,0,0,0,0,0,0
22,18,0,0,0,0,0,0,0,0,0
22,19,0,0,0,0,0,0,0,0,0
22,20,0,0,0,0,0,0,0,0,0
22,21,84,40,44,0,52,32,19,65,1
22,23,1,1,0,0,1,0,0,1,0
22,24,1440,1435,5,0,1433,7,1017,423,0
23,1,0,0,0,0,0,0,0,0,0
23,2,0,0,0,0,0,0,0,0,0
23,3,0,0,0,0,0,0,0,0,0
23,4,0,0,0,0,0,0,0,0,0
23,5,0,0,0,0,0,0,0,0,0
23,6,0,0,0,0,0,0,0,0,0
23,7,0,0,0,0,0,0,0,0,0
23,8,0,0,0,0,0,0,0,0,0
